sample_index,filename,mata_path,insang_path,true_label_id,true_label,pred_label_id,pred_label,prob_segar,prob_tidak_segar,confidence,is_correct,status
1,segar_001,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_001.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_001.jpg,0,Segar,1,Tidak Segar,0.2164,0.7836,0.7836,False,SALAH
5,segar_022,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_022.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_022.jpg,0,Segar,1,Tidak Segar,0.4654,0.5346,0.5346,False,SALAH
6,segar_023,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_023.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_023.jpg,0,Segar,1,Tidak Segar,0.343,0.657,0.657,False,SALAH
7,segar_024,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_024.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_024.jpg,0,Segar,1,Tidak Segar,0.446,0.554,0.554,False,SALAH
9,segar_027,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_027.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_027.jpg,0,Segar,1,Tidak Segar,0.3872,0.6128,0.6128,False,SALAH
12,segar_035,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_035.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_035.jpg,0,Segar,1,Tidak Segar,0.3859,0.6141,0.6141,False,SALAH
14,segar_038,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_038.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_038.jpg,0,Segar,1,Tidak Segar,0.4641,0.5359,0.5359,False,SALAH
22,segar_051,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_051.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_051.jpg,0,Segar,1,Tidak Segar,0.3086,0.6914,0.6914,False,SALAH
24,segar_053,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_053.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_053.jpg,0,Segar,1,Tidak Segar,0.4004,0.5996,0.5996,False,SALAH
27,segar_059,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_059.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_059.jpg,0,Segar,1,Tidak Segar,0.3039,0.6961,0.6961,False,SALAH
28,segar_060,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_060.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_060.jpg,0,Segar,1,Tidak Segar,0.2826,0.7174,0.7174,False,SALAH
29,segar_061,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_061.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_061.jpg,0,Segar,1,Tidak Segar,0.2003,0.7997,0.7997,False,SALAH
30,segar_063,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_063.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_063.jpg,0,Segar,1,Tidak Segar,0.4273,0.5727,0.5727,False,SALAH
31,segar_064,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_064.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_064.jpg,0,Segar,1,Tidak Segar,0.3984,0.6016,0.6016,False,SALAH
32,segar_065,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_065.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_065.jpg,0,Segar,1,Tidak Segar,0.272,0.728,0.728,False,SALAH
34,segar_068,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_068.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_068.jpg,0,Segar,1,Tidak Segar,0.4472,0.5528,0.5528,False,SALAH
36,segar_070,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_070.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_070.jpg,0,Segar,1,Tidak Segar,0.3675,0.6325,0.6325,False,SALAH
39,segar_074,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_074.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_074.jpg,0,Segar,1,Tidak Segar,0.1859,0.8141,0.8141,False,SALAH
40,segar_071,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_071.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_071.jpg,0,Segar,1,Tidak Segar,0.4476,0.5524,0.5524,False,SALAH
41,segar_055,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_055.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_055.jpg,0,Segar,1,Tidak Segar,0.2918,0.7082,0.7082,False,SALAH
42,segar_050,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_050.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_050.jpg,0,Segar,1,Tidak Segar,0.1047,0.8953,0.8953,False,SALAH
44,segar_041,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_041.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_041.jpg,0,Segar,1,Tidak Segar,0.2538,0.7462,0.7462,False,SALAH
45,segar_040,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_040.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_040.jpg,0,Segar,1,Tidak Segar,0.4761,0.5239,0.5239,False,SALAH
46,segar_002,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_002.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_002.jpg,0,Segar,1,Tidak Segar,0.2134,0.7866,0.7866,False,SALAH
47,segar_086,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_086.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_086.jpg,0,Segar,1,Tidak Segar,0.1617,0.8383,0.8383,False,SALAH
48,segar_085,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_085.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_085.jpg,0,Segar,1,Tidak Segar,0.3916,0.6084,0.6084,False,SALAH
50,segar_083,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_083.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_083.jpg,0,Segar,1,Tidak Segar,0.4971,0.5029,0.5029,False,SALAH
51,segar_082,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_082.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_082.jpg,0,Segar,1,Tidak Segar,0.0659,0.9341,0.9341,False,SALAH
52,segar_081,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_081.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_081.jpg,0,Segar,1,Tidak Segar,0.1372,0.8628,0.8628,False,SALAH
53,segar_080,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_080.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_080.jpg,0,Segar,1,Tidak Segar,0.453,0.547,0.547,False,SALAH
54,segar_079,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_079.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_079.jpg,0,Segar,1,Tidak Segar,0.0329,0.9671,0.9671,False,SALAH
55,segar_078,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_078.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_078.jpg,0,Segar,1,Tidak Segar,0.1907,0.8093,0.8093,False,SALAH
56,segar_077,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_077.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_077.jpg,0,Segar,1,Tidak Segar,0.3587,0.6413,0.6413,False,SALAH
57,segar_076,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_076.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_076.jpg,0,Segar,1,Tidak Segar,0.4826,0.5174,0.5174,False,SALAH
