sample_index,filename,mata_path,insang_path,true_label_id,true_label,pred_label_id,pred_label,prob_segar,prob_tidak_segar,confidence,is_correct,status
1,segar_001,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_001.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_001.jpg,0,Segar,0,Segar,0.8381,0.1619,0.8381,True,BENAR
2,segar_018,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_018.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_018.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
3,segar_019,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_019.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_019.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
4,segar_020,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_020.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_020.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
5,segar_022,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_022.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_022.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
6,segar_023,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_023.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_023.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
7,segar_024,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_024.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_024.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
8,segar_026,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_026.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_026.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
9,segar_027,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_027.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_027.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
10,segar_028,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_028.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_028.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
11,segar_034,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_034.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_034.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
12,segar_035,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_035.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_035.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
13,segar_036,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_036.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_036.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
14,segar_038,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_038.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_038.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
15,segar_042,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_042.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_042.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
16,segar_043,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_043.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_043.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
17,segar_044,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_044.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_044.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
18,segar_045,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_045.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_045.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
19,segar_046,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_046.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_046.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
20,segar_047,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_047.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_047.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
21,segar_048,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_048.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_048.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
22,segar_051,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_051.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_051.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
23,segar_052,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_052.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_052.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
24,segar_053,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_053.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_053.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
25,segar_054,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_054.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_054.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
26,segar_058,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_058.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_058.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
