sample_index,filename,mata_path,insang_path,true_label_id,true_label,pred_label_id,pred_label,prob_segar,prob_tidak_segar,confidence,is_correct,status
87,tidak_segar_020,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_020.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_020.jpg,1,Tidak Segar,0,Segar,0.5425,0.4575,0.5425,False,SALAH
88,tidak_segar_021,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_021.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_021.jpg,1,Tidak Segar,0,Segar,0.5311,0.4689,0.5311,False,SALAH
90,tidak_segar_023,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_023.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_023.jpg,1,Tidak Segar,0,Segar,0.9331,0.0669,0.9331,False,SALAH
93,tidak_segar_026,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_026.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_026.jpg,1,Tidak Segar,0,Segar,0.6165,0.3835,0.6165,False,SALAH
94,tidak_segar_027,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_027.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_027.jpg,1,Tidak Segar,0,Segar,0.7836,0.2164,0.7836,False,SALAH
95,tidak_segar_029,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_029.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_029.jpg,1,Tidak Segar,0,Segar,0.6617,0.3383,0.6617,False,SALAH
96,tidak_segar_037,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_037.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_037.jpg,1,Tidak Segar,0,Segar,0.54,0.46,0.54,False,SALAH
97,tidak_segar_038,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_038.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_038.jpg,1,Tidak Segar,0,Segar,0.6138,0.3862,0.6138,False,SALAH
98,tidak_segar_039,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_039.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_039.jpg,1,Tidak Segar,0,Segar,0.5937,0.4063,0.5937,False,SALAH
99,tidak_segar_040,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_040.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_040.jpg,1,Tidak Segar,0,Segar,0.675,0.325,0.675,False,SALAH
100,tidak_segar_041,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_041.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_041.jpg,1,Tidak Segar,0,Segar,0.5984,0.4016,0.5984,False,SALAH
