sample_index,filename,mata_path,insang_path,true_label_id,true_label,pred_label_id,pred_label,prob_segar,prob_tidak_segar,confidence,is_correct,status
1,segar_001,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_001.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_001.jpg,0,Segar,1,Tidak Segar,0.4992,0.5008,0.5008,False,SALAH
51,segar_082,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_082.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_082.jpg,0,Segar,1,Tidak Segar,0.4852,0.5148,0.5148,False,SALAH
84,segar_005,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_005.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_005.jpg,0,Segar,1,Tidak Segar,0.475,0.525,0.525,False,SALAH
90,tidak_segar_023,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_023.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_023.jpg,1,Tidak Segar,0,Segar,0.8823,0.1177,0.8823,False,SALAH
91,tidak_segar_024,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_024.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_024.jpg,1,Tidak Segar,0,Segar,0.7455,0.2545,0.7455,False,SALAH
93,tidak_segar_026,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_026.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_026.jpg,1,Tidak Segar,0,Segar,0.5931,0.4069,0.5931,False,SALAH
94,tidak_segar_027,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_027.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_027.jpg,1,Tidak Segar,0,Segar,1.0,0.0,1.0,False,SALAH
95,tidak_segar_029,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_029.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_029.jpg,1,Tidak Segar,0,Segar,0.6714,0.3286,0.6714,False,SALAH
97,tidak_segar_038,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_038.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_038.jpg,1,Tidak Segar,0,Segar,0.5762,0.4238,0.5762,False,SALAH
98,tidak_segar_039,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_039.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_039.jpg,1,Tidak Segar,0,Segar,0.5087,0.4913,0.5087,False,SALAH
99,tidak_segar_040,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_040.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_040.jpg,1,Tidak Segar,0,Segar,0.8706,0.1294,0.8706,False,SALAH
100,tidak_segar_041,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_041.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_041.jpg,1,Tidak Segar,0,Segar,0.9999,0.0001,0.9999,False,SALAH
101,tidak_segar_042,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_042.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_042.jpg,1,Tidak Segar,0,Segar,0.8097,0.1903,0.8097,False,SALAH
103,tidak_segar_044,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_044.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_044.jpg,1,Tidak Segar,0,Segar,0.9467,0.0533,0.9467,False,SALAH
104,tidak_segar_045,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_045.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_045.jpg,1,Tidak Segar,0,Segar,1.0,0.0,1.0,False,SALAH
105,tidak_segar_046,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_046.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_046.jpg,1,Tidak Segar,0,Segar,0.7888,0.2112,0.7888,False,SALAH
106,tidak_segar_047,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_047.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_047.jpg,1,Tidak Segar,0,Segar,0.5922,0.4078,0.5922,False,SALAH
107,tidak_segar_048,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_048.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_048.jpg,1,Tidak Segar,0,Segar,0.9455,0.0545,0.9455,False,SALAH
109,tidak_segar_050,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_050.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_050.jpg,1,Tidak Segar,0,Segar,0.8531,0.1469,0.8531,False,SALAH
113,tidak_segar_054,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_054.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_054.jpg,1,Tidak Segar,0,Segar,0.74,0.26,0.74,False,SALAH
114,tidak_segar_055,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_055.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_055.jpg,1,Tidak Segar,0,Segar,0.7915,0.2085,0.7915,False,SALAH
116,tidak_segar_057,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_057.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_057.jpg,1,Tidak Segar,0,Segar,0.5683,0.4317,0.5683,False,SALAH
117,tidak_segar_058,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_058.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_058.jpg,1,Tidak Segar,0,Segar,0.8036,0.1964,0.8036,False,SALAH
119,tidak_segar_060,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_060.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_060.jpg,1,Tidak Segar,0,Segar,0.6115,0.3885,0.6115,False,SALAH
123,tidak_segar_064,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_064.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_064.jpg,1,Tidak Segar,0,Segar,0.596,0.404,0.596,False,SALAH
125,tidak_segar_066,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_066.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_066.jpg,1,Tidak Segar,0,Segar,0.834,0.166,0.834,False,SALAH
126,tidak_segar_067,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_067.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_067.jpg,1,Tidak Segar,0,Segar,0.5271,0.4729,0.5271,False,SALAH
128,tidak_segar_069,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_069.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_069.jpg,1,Tidak Segar,0,Segar,0.8194,0.1806,0.8194,False,SALAH
131,tidak_segar_072,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_072.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_072.jpg,1,Tidak Segar,0,Segar,0.523,0.477,0.523,False,SALAH
132,tidak_segar_073,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_073.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_073.jpg,1,Tidak Segar,0,Segar,0.7739,0.2261,0.7739,False,SALAH
133,tidak_segar_074,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_074.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_074.jpg,1,Tidak Segar,0,Segar,0.8291,0.1709,0.8291,False,SALAH
134,tidak_segar_075,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_075.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_075.jpg,1,Tidak Segar,0,Segar,0.7364,0.2636,0.7364,False,SALAH
136,tidak_segar_077,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_077.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_077.jpg,1,Tidak Segar,0,Segar,0.6223,0.3777,0.6223,False,SALAH
147,tidak_segar_002,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_002.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_002.jpg,1,Tidak Segar,0,Segar,0.6968,0.3032,0.6968,False,SALAH
148,tidak_segar_003,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_003.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_003.jpg,1,Tidak Segar,0,Segar,0.8907,0.1093,0.8907,False,SALAH
149,tidak_segar_004,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_004.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_004.jpg,1,Tidak Segar,0,Segar,0.8061,0.1939,0.8061,False,SALAH
150,tidak_segar_005,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_005.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_005.jpg,1,Tidak Segar,0,Segar,1.0,0.0,1.0,False,SALAH
156,tidak_segar_013,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_013.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_013.jpg,1,Tidak Segar,0,Segar,0.5937,0.4063,0.5937,False,SALAH
159,tidak_segar_016,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_016.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_016.jpg,1,Tidak Segar,0,Segar,0.5653,0.4347,0.5653,False,SALAH
160,tidak_segar_017,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_017.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_017.jpg,1,Tidak Segar,0,Segar,0.7146,0.2854,0.7146,False,SALAH
169,tidak_segar_035,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_035.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_035.jpg,1,Tidak Segar,0,Segar,0.5902,0.4098,0.5902,False,SALAH
170,tidak_segar_036,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_036.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_036.jpg,1,Tidak Segar,0,Segar,0.9936,0.0064,0.9936,False,SALAH
171,tidak_segar_008,/content/drive/MyDrive/datatest/mata/test/tidak_segar/mata_tidak_segar_008.jpg,/content/drive/MyDrive/datatest/insang/test/tidak_segar/insang_tidak_segar_008.jpg,1,Tidak Segar,0,Segar,0.9411,0.0589,0.9411,False,SALAH
