sample_index,filename,mata_path,insang_path,true_label_id,true_label,pred_label_id,pred_label,prob_segar,prob_tidak_segar,confidence,is_correct,status
1,segar_001,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_001.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_001.jpg,0,Segar,1,Tidak Segar,0.4894,0.5106,0.5106,False,SALAH
2,segar_018,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_018.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_018.jpg,0,Segar,0,Segar,0.6083,0.3917,0.6083,True,BENAR
3,segar_019,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_019.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_019.jpg,0,Segar,0,Segar,0.626,0.374,0.626,True,BENAR
4,segar_020,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_020.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_020.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
5,segar_022,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_022.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_022.jpg,0,Segar,0,Segar,0.88,0.12,0.88,True,BENAR
6,segar_023,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_023.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_023.jpg,0,Segar,0,Segar,0.7777,0.2223,0.7777,True,BENAR
7,segar_024,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_024.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_024.jpg,0,Segar,0,Segar,0.707,0.293,0.707,True,BENAR
8,segar_026,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_026.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_026.jpg,0,Segar,0,Segar,0.6691,0.3309,0.6691,True,BENAR
9,segar_027,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_027.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_027.jpg,0,Segar,0,Segar,0.7564,0.2436,0.7564,True,BENAR
10,segar_028,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_028.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_028.jpg,0,Segar,0,Segar,0.7818,0.2182,0.7818,True,BENAR
11,segar_034,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_034.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_034.jpg,0,Segar,0,Segar,0.6936,0.3064,0.6936,True,BENAR
12,segar_035,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_035.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_035.jpg,0,Segar,0,Segar,0.9386,0.0614,0.9386,True,BENAR
13,segar_036,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_036.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_036.jpg,0,Segar,0,Segar,0.8532,0.1468,0.8532,True,BENAR
14,segar_038,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_038.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_038.jpg,0,Segar,0,Segar,0.9188,0.0812,0.9188,True,BENAR
15,segar_042,/content/drive/MyDrive/datatest/mata/test/segar/mata_segar_042.jpg,/content/drive/MyDrive/datatest/insang/test/segar/insang_segar_042.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
